antecedents,consequents,support,confidence,lift
"MntFruits, MntSweetProducts","MntFishProducts, MntGoldProds, MntWines",0.645719941,0.890784983,1.112655408
"MntFruits, MntMeatProducts, MntSweetProducts","MntFishProducts, MntGoldProds, MntWines",0.645719941,0.890784983,1.112655408
"MntFruits, MntSweetProducts","MntFishProducts, MntGoldProds, MntMeatProducts, MntWines",0.645719941,0.890784983,1.112655408
"MntFishProducts, MntGoldProds, MntWines","MntFruits, MntSweetProducts",0.645719941,0.806551298,1.112655408
"MntFishProducts, MntGoldProds, MntMeatProducts, MntWines","MntFruits, MntSweetProducts",0.645719941,0.806551298,1.112655408
"MntFishProducts, MntGoldProds, MntWines","MntFruits, MntMeatProducts, MntSweetProducts",0.645719941,0.806551298,1.112655408
"MntFruits, MntSweetProducts","MntFishProducts, MntGoldProds, MntMeatProducts",0.648688768,0.894880546,1.110223194
"MntFishProducts, MntGoldProds, MntMeatProducts","MntFruits, MntSweetProducts",0.648688768,0.804788214,1.110223194
"MntFruits, MntSweetProducts, MntWines","MntFishProducts, MntGoldProds, MntMeatProducts",0.645719941,0.894448252,1.109686874
"MntFishProducts, MntGoldProds, MntMeatProducts","MntFruits, MntSweetProducts, MntWines",0.645719941,0.801104972,1.109686874
"MntFruits, MntSweetProducts","MntFishProducts, MntGoldProds",0.648688768,0.894880546,1.109542076
"MntFruits, MntMeatProducts, MntSweetProducts","MntFishProducts, MntGoldProds",0.648688768,0.894880546,1.109542076
"MntFishProducts, MntGoldProds","MntFruits, MntSweetProducts",0.648688768,0.804294479,1.109542076
"MntFishProducts, MntGoldProds","MntFruits, MntMeatProducts, MntSweetProducts",0.648688768,0.804294479,1.109542076
"MntFishProducts, MntFruits","MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.878787879,1.109325611
"MntFishProducts, MntFruits, MntMeatProducts","MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.878787879,1.109325611
"MntFishProducts, MntFruits","MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.878787879,1.109325611
"MntGoldProds, MntSweetProducts, MntWines","MntFishProducts, MntFruits",0.645719941,0.815115553,1.109325611
"MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines","MntFishProducts, MntFruits",0.645719941,0.815115553,1.109325611
"MntGoldProds, MntSweetProducts, MntWines","MntFishProducts, MntFruits, MntMeatProducts",0.645719941,0.815115553,1.109325611
"MntFruits, MntSweetProducts, MntWines","MntFishProducts, MntGoldProds",0.645719941,0.894448252,1.109006085
"MntFruits, MntMeatProducts, MntSweetProducts, MntWines","MntFishProducts, MntGoldProds",0.645719941,0.894448252,1.109006085
"MntFishProducts, MntGoldProds","MntFruits, MntSweetProducts, MntWines",0.645719941,0.800613497,1.109006085
"MntFishProducts, MntGoldProds","MntFruits, MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.800613497,1.109006085
"MntFishProducts, MntFruits, MntGoldProds","MntSweetProducts, MntWines",0.645719941,0.895061728,1.108406711
"MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts","MntSweetProducts, MntWines",0.645719941,0.895061728,1.108406711
"MntFishProducts, MntFruits, MntGoldProds","MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.895061728,1.108406711
"MntSweetProducts, MntWines","MntFishProducts, MntFruits, MntGoldProds",0.645719941,0.799632353,1.108406711
"MntMeatProducts, MntSweetProducts, MntWines","MntFishProducts, MntFruits, MntGoldProds",0.645719941,0.799632353,1.108406711
"MntSweetProducts, MntWines","MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts",0.645719941,0.799632353,1.108406711
"MntFishProducts, MntFruits, MntWines","MntGoldProds, MntMeatProducts, MntSweetProducts",0.645719941,0.882949932,1.107660964
"MntGoldProds, MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits, MntWines",0.645719941,0.810055866,1.107660964
"MntFishProducts, MntFruits","MntGoldProds, MntMeatProducts, MntSweetProducts",0.648688768,0.882828283,1.107508355
"MntGoldProds, MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits",0.648688768,0.813780261,1.107508355
"MntFishProducts, MntFruits, MntWines","MntGoldProds, MntSweetProducts",0.645719941,0.882949932,1.10697383
"MntFishProducts, MntFruits, MntMeatProducts, MntWines","MntGoldProds, MntSweetProducts",0.645719941,0.882949932,1.10697383
"MntGoldProds, MntSweetProducts","MntFishProducts, MntFruits, MntWines",0.645719941,0.80955335,1.10697383
"MntGoldProds, MntSweetProducts","MntFishProducts, MntFruits, MntMeatProducts, MntWines",0.645719941,0.80955335,1.10697383
"MntFishProducts, MntFruits, MntGoldProds, MntWines","MntMeatProducts, MntSweetProducts",0.645719941,0.899379738,1.106971042
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits, MntGoldProds, MntWines",0.645719941,0.794762485,1.106971042
"MntFishProducts, MntFruits","MntGoldProds, MntSweetProducts",0.648688768,0.882828283,1.106821315
"MntFishProducts, MntFruits, MntMeatProducts","MntGoldProds, MntSweetProducts",0.648688768,0.882828283,1.106821315
"MntGoldProds, MntSweetProducts","MntFishProducts, MntFruits",0.648688768,0.813275434,1.106821315
"MntGoldProds, MntSweetProducts","MntFishProducts, MntFruits, MntMeatProducts",0.648688768,0.813275434,1.106821315
"MntFishProducts, MntFruits, MntGoldProds","MntMeatProducts, MntSweetProducts",0.648688768,0.899176955,1.106721453
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits, MntGoldProds",0.648688768,0.798416565,1.106721453
"MntFishProducts, MntFruits, MntGoldProds, MntWines",MntSweetProducts,0.645719941,0.899379738,1.106297292
"MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts, MntWines",MntSweetProducts,0.645719941,0.899379738,1.106297292
MntSweetProducts,"MntFishProducts, MntFruits, MntGoldProds, MntWines",0.645719941,0.794278758,1.106297292
MntSweetProducts,"MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts, MntWines",0.645719941,0.794278758,1.106297292
"MntFishProducts, MntFruits, MntGoldProds",MntSweetProducts,0.648688768,0.899176955,1.106047855
"MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts",MntSweetProducts,0.648688768,0.899176955,1.106047855
MntSweetProducts,"MntFishProducts, MntFruits, MntGoldProds",0.648688768,0.797930615,1.106047855
MntSweetProducts,"MntFishProducts, MntFruits, MntGoldProds, MntMeatProducts",0.648688768,0.797930615,1.106047855
"MntFishProducts, MntFruits","MntSweetProducts, MntWines",0.656110836,0.892929293,1.105765993
"MntFishProducts, MntFruits, MntMeatProducts","MntSweetProducts, MntWines",0.656110836,0.892929293,1.105765993
"MntFishProducts, MntFruits","MntMeatProducts, MntSweetProducts, MntWines",0.656110836,0.892929293,1.105765993
"MntSweetProducts, MntWines","MntFishProducts, MntFruits",0.656110836,0.8125,1.105765993
"MntMeatProducts, MntSweetProducts, MntWines","MntFishProducts, MntFruits",0.656110836,0.8125,1.105765993
"MntSweetProducts, MntWines","MntFishProducts, MntFruits, MntMeatProducts",0.656110836,0.8125,1.105765993
"MntFishProducts, MntSweetProducts, MntWines","MntFruits, MntGoldProds",0.645719941,0.890177353,1.105745809
"MntFishProducts, MntMeatProducts, MntSweetProducts, MntWines","MntFruits, MntGoldProds",0.645719941,0.890177353,1.105745809
"MntFishProducts, MntSweetProducts, MntWines","MntFruits, MntGoldProds, MntMeatProducts",0.645719941,0.890177353,1.105745809
"MntFruits, MntGoldProds","MntFishProducts, MntSweetProducts, MntWines",0.645719941,0.802089736,1.105745809
"MntFruits, MntGoldProds, MntMeatProducts","MntFishProducts, MntSweetProducts, MntWines",0.645719941,0.802089736,1.105745809
"MntFruits, MntGoldProds","MntFishProducts, MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.802089736,1.105745809
"MntFruits, MntSweetProducts","MntFishProducts, MntWines",0.656110836,0.905119454,1.105284844
"MntFruits, MntMeatProducts, MntSweetProducts","MntFishProducts, MntWines",0.656110836,0.905119454,1.105284844
"MntFruits, MntSweetProducts","MntFishProducts, MntMeatProducts, MntWines",0.656110836,0.905119454,1.105284844
"MntFishProducts, MntWines","MntFruits, MntSweetProducts",0.656110836,0.801208459,1.105284844
"MntFishProducts, MntMeatProducts, MntWines","MntFruits, MntSweetProducts",0.656110836,0.801208459,1.105284844
"MntFishProducts, MntWines","MntFruits, MntMeatProducts, MntSweetProducts",0.656110836,0.801208459,1.105284844
"MntFishProducts, MntGoldProds, MntSweetProducts, MntWines",MntFruits,0.645719941,0.907510431,1.104866615
"MntFishProducts, MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",MntFruits,0.645719941,0.907510431,1.104866615
"MntFishProducts, MntGoldProds, MntSweetProducts, MntWines","MntFruits, MntMeatProducts",0.645719941,0.907510431,1.104866615
MntFruits,"MntFishProducts, MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.786144578,1.104866615
"MntFruits, MntMeatProducts","MntFishProducts, MntGoldProds, MntSweetProducts, MntWines",0.645719941,0.786144578,1.104866615
MntFruits,"MntFishProducts, MntGoldProds, MntMeatProducts, MntSweetProducts, MntWines",0.645719941,0.786144578,1.104866615
"MntFruits, MntGoldProds, MntSweetProducts","MntFishProducts, MntWines",0.645719941,0.904365904,1.104364648
"MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts","MntFishProducts, MntWines",0.645719941,0.904365904,1.104364648
"MntFruits, MntGoldProds, MntSweetProducts","MntFishProducts, MntMeatProducts, MntWines",0.645719941,0.904365904,1.104364648
"MntFishProducts, MntWines","MntFruits, MntGoldProds, MntSweetProducts",0.645719941,0.788519637,1.104364648
"MntFishProducts, MntMeatProducts, MntWines","MntFruits, MntGoldProds, MntSweetProducts",0.645719941,0.788519637,1.104364648
"MntFishProducts, MntWines","MntFruits, MntGoldProds, MntMeatProducts, MntSweetProducts",0.645719941,0.788519637,1.104364648
"MntFishProducts, MntFruits, MntWines","MntMeatProducts, MntSweetProducts",0.656110836,0.897158322,1.104236887
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits, MntWines",0.656110836,0.807551766,1.104236887
"MntFishProducts, MntFruits","MntMeatProducts, MntSweetProducts",0.659079664,0.896969697,1.104004724
"MntMeatProducts, MntSweetProducts","MntFishProducts, MntFruits",0.659079664,0.811205847,1.104004724
"MntFishProducts, MntFruits, MntWines",MntSweetProducts,0.656110836,0.897158322,1.103564802
"MntFishProducts, MntFruits, MntMeatProducts, MntWines",MntSweetProducts,0.656110836,0.897158322,1.103564802
MntSweetProducts,"MntFishProducts, MntFruits, MntWines",0.656110836,0.807060256,1.103564802
MntSweetProducts,"MntFishProducts, MntFruits, MntMeatProducts, MntWines",0.656110836,0.807060256,1.103564802
"MntFishProducts, MntFruits",MntSweetProducts,0.659079664,0.896969697,1.10333278
"MntFishProducts, MntFruits, MntMeatProducts",MntSweetProducts,0.659079664,0.896969697,1.10333278
MntSweetProducts,"MntFishProducts, MntFruits",0.659079664,0.810712112,1.10333278
MntSweetProducts,"MntFishProducts, MntFruits, MntMeatProducts",0.659079664,0.810712112,1.10333278
"MntFruits, MntGoldProds","MntFishProducts, MntMeatProducts, MntSweetProducts",0.648688768,0.805777505,1.103303751
"MntFishProducts, MntMeatProducts, MntSweetProducts","MntFruits, MntGoldProds",0.648688768,0.888211382,1.103303751
"MntFishProducts, MntMeatProducts, MntSweetProducts","MntFruits, MntGoldProds, MntWines",0.645719941,0.884146341,1.102999849
"MntFruits, MntGoldProds, MntWines","MntFishProducts, MntMeatProducts, MntSweetProducts",0.645719941,0.805555556,1.102999849
"MntFruits, MntSweetProducts","MntFishProducts, MntMeatProducts",0.659079664,0.909215017,1.102955312
"MntFishProducts, MntMeatProducts","MntFruits, MntSweetProducts",0.659079664,0.799519808,1.102955312
"MntFishProducts, MntSweetProducts","MntFruits, MntGoldProds",0.648688768,0.88761002,1.102556762
"MntFishProducts, MntSweetProducts","MntFruits, MntGoldProds, MntMeatProducts",0.648688768,0.88761002,1.102556762
"MntFruits, MntGoldProds","MntFishProducts, MntSweetProducts",0.648688768,0.805777505,1.102556762
"MntFruits, MntGoldProds, MntMeatProducts","MntFishProducts, MntSweetProducts",0.648688768,0.805777505,1.102556762
"MntFruits, MntSweetProducts, MntWines","MntFishProducts, MntMeatProducts",0.656110836,0.908841672,1.102502413
"MntFishProducts, MntMeatProducts","MntFruits, MntSweetProducts, MntWines",0.656110836,0.795918367,1.102502413
"MntFruits, MntSweetProducts",MntFishProducts,0.659079664,0.909215017,1.102293671
"MntFruits, MntMeatProducts, MntSweetProducts",MntFishProducts,0.659079664,0.909215017,1.102293671
MntFishProducts,"MntFruits, MntSweetProducts",0.659079664,0.799040192,1.102293671
MntFishProducts,"MntFruits, MntMeatProducts, MntSweetProducts",0.659079664,0.799040192,1.102293671
MntFruits,"MntFishProducts, MntGoldProds, MntMeatProducts, MntSweetProducts",0.648688768,0.789759036,1.102281086
